x,y
203,318
186,319
190,319
182,320
191,320
182,321
200,321
193,322
198,322
163,323
167,323
171,323
175,323
196,323
160,324
156,327
613,332
617,332
621,332
625,332
611,333
628,333
632,333
633,334
634,335
606,337
604,339
604,340
633,341
630,342
601,343
599,344
596,345
625,345
595,346
590,347
621,347
587,348
620,348
581,349
585,349
575,350
615,350
573,351
613,351
569,352
604,352
608,352
563,353
599,353
555,354
559,354
597,354
551,355
591,355
544,356
584,356
588,356
542,357
582,357
538,358
577,358
529,359
533,359
569,359
573,359
523,360
527,360
567,360
515,361
519,361
561,361
508,362
553,362
557,362
505,363
549,363
491,364
495,364
499,364
543,364
483,365
487,365
537,365
541,365
471,366
475,366
479,366
530,366
534,366
463,367
467,367
526,367
455,368
459,368
521,368
447,369
451,369
506,369
510,369
514,369
518,369
437,370
441,370
445,370
491,370
495,370
499,370
503,370
431,371
476,371
480,371
484,371
423,372
427,372
467,372
471,372
475,372
405,373
409,373
419,373
425,373
457,373
461,373
465,373
390,374
394,374
398,374
413,374
417,374
447,374
451,374
379,375
383,375
439,375
443,375
377,376
438,376
373,377
432,377
436,377
426,378
357,379
361,379
365,379
419,379
423,379
350,380
354,380
403,380
407,380
411,380
415,380
339,381
343,381
347,381
335,382
400,382
332,383
400,383
325,384
329,384
399,384
319,385
386,385
390,385
394,385
308,386
312,386
381,386
303,387
378,387
303,388
301,389
373,389
368,390
288,391
292,391
296,391
365,391
285,392
353,392
357,392
361,392
282,393
276,394
280,394
271,395
275,395
265,396
269,396
346,396
262,397
340,397
254,398
258,398
251,399
334,399
251,400
330,400
243,401
247,401
327,401
240,402
235,403
325,403
323,404
230,405
225,406
321,406
318,407
317,408
214,409
218,409
223,409
212,410
209,411
206,412
314,412
312,413
310,414
309,415
194,416
198,416
202,416
188,417
308,417
307,418
183,419
181,420
179,421
305,422
174,425
170,426
175,426
179,426
183,426
304,427
165,429
163,430
160,431
158,432
157,433
156,434
302,434
300,435
299,436
151,438
150,439
297,440
146,442
146,443
145,444
141,445
137,446
135,447
134,448
133,449
302,450
303,451
304,452
304,453
304,454
304,455
123,457
304,458
304,460
121,462
120,463
119,464
118,465
117,466
114,467
309,467
112,468
109,469
107,470
105,471
104,472
104,473
314,474
102,476
102,478
102,480
